track,quarter_region,year,activity,predicted_eok,actual_eok,abs_error_eok,ape_pct
recursive_no_target_actual,충북,2024,숙박 및 음식점업,15294.422516223243,14855.3,439.122516223244,2.955998978298951
recursive_no_target_actual,충북,2024,운수 및 창고업,28833.413279282737,29500.47,667.0567207172644,2.2611731972991085
recursive_no_target_actual,충북,2024,정보통신업,10331.895570829016,9667.86,664.0355708290153,6.868485588630942
recursive_no_target_actual,충북,2025,건설업,39291.805496052286,43703.439999999995,4411.634503947709,10.094478841820482
recursive_no_target_actual,충북,2025,"공공 행정, 국방·사회보장",65176.57400459656,65594.5,417.92599540344236,0.6371357284580907
recursive_no_target_actual,충북,2025,"광업, 제조업",411950.22088747006,370075.14,41875.080887470045,11.315291507413884
recursive_no_target_actual,충북,2025,교육 서비스업,38963.53702768001,39496.67,533.1329723199888,1.349817522135382
recursive_no_target_actual,충북,2025,금융 및 보험업,24559.17049673336,24390.679999999997,168.49049673336413,0.6907986851263029
recursive_no_target_actual,충북,2025,기타산업 및 순생산물세,84263.61127167653,90659.39,6395.778728323465,7.054733909331912
recursive_no_target_actual,충북,2025,도매 및 소매업,28755.79574734745,29438.28,682.4842526525499,2.3183564143440103
recursive_no_target_actual,충북,2025,문화 및 기타서비스업,23637.676349569698,23178.61,459.0663495696972,1.9805603078428653
recursive_no_target_actual,충북,2025,보건 및 사회복지업,36687.96710775514,36558.9,129.06710775513784,0.35303881614364174
recursive_no_target_actual,충북,2025,부동산업,34857.08663082402,34866.31,9.223369175975677,0.026453528279808437
recursive_no_target_actual,충북,2025,사업서비스업,39435.243734016825,41230.04,1794.7962659831755,4.353127636992774
recursive_no_target_actual,충북,2025,서비스업,347301.7132546831,347885.98,584.2667453168542,0.16794776993222155
recursive_no_target_actual,충북,2025,숙박 및 음식점업,15202.681445270942,14655.140000000001,547.541445270941,3.736173419502925
recursive_no_target_actual,충북,2025,운수 및 창고업,29479.452877364613,29859.82,380.3671226353872,1.2738426508779597
recursive_no_target_actual,충북,2025,정보통신업,10546.527833524478,9605.880000000001,940.6478335244774,9.792417077086922
