track,quarter_region,activity,available_quarters,year,selected_route_id,selected_basis,baseline_predicted_eok,selected_predicted_eok,official_annual_eok,baseline_error_eok,selected_error_eok,baseline_abs_error_eok,selected_abs_error_eok,baseline_ape_pct,selected_ape_pct,target_candidate_ape_pct_if_adopted
prior_year_province_anchor,대구,건설업,1,2021,baseline,no_prior_positive_route,36140.52852048918,36140.52852048918,41049.64,-4909.111479510822,-4909.111479510822,4909.111479510822,4909.111479510822,11.9589635366128,11.958963536612801,
prior_year_province_anchor,대구,건설업,1,2022,baseline,no_prior_positive_route,41054.005149767014,41054.005149767014,41365.55,-311.5448502329891,-311.5448502329891,311.5448502329891,311.5448502329891,0.7531505086551227,0.7531505086551227,
prior_year_province_anchor,대구,건설업,1,2024,baseline,no_prior_positive_route,41562.76296184352,41562.76296184352,31555.25,10007.512961843517,10007.512961843517,10007.512961843517,10007.512961843517,31.71425661924249,31.71425661924249,
prior_year_province_anchor,대구,건설업,1,2025,baseline,no_prior_positive_route,27670.30629118517,27670.30629118517,25481.89,2188.416291185171,2188.416291185171,2188.416291185171,2188.416291185171,8.588123923245767,8.588123923245767,
prior_year_province_anchor,대구,건설업,2,2021,baseline,no_prior_positive_route,36167.22266941562,36167.22266941562,41049.64,-4882.41733058438,-4882.41733058438,4882.41733058438,4882.41733058438,11.893934588913275,11.893934588913275,
prior_year_province_anchor,대구,건설업,2,2022,baseline,no_prior_positive_route,40844.59521579461,40844.59521579461,41365.55,-520.9547842053944,-520.9547842053944,520.9547842053944,520.9547842053944,1.259392862431164,1.2593928624311639,
prior_year_province_anchor,대구,건설업,2,2024,baseline,no_prior_positive_route,40546.78762125715,40546.78762125715,31555.25,8991.53762125715,8991.53762125715,8991.53762125715,8991.53762125715,28.494585279017436,28.494585279017436,
prior_year_province_anchor,대구,건설업,2,2025,regional_construction_orders_bok_12_24q,prior_positive_improvement_2600.636_eok,28008.19822644968,20998.562432283332,25481.89,2526.3082264496807,-4483.3275677166675,2526.3082264496807,4483.3275677166675,9.914132061827756,17.59417204813563,17.59417204813563
prior_year_province_anchor,대구,건설업,3,2021,baseline,no_prior_positive_route,36388.064404624485,36388.064404624485,41049.64,-4661.575595375514,-4661.575595375514,4661.575595375514,4661.575595375514,11.355947568299053,11.355947568299051,
prior_year_province_anchor,대구,건설업,3,2022,regional_construction_orders_bok_12_24q,prior_positive_improvement_915.706_eok,41228.946428962234,41843.42511535766,41365.55,-136.60357103776914,477.8751153576595,136.60357103776914,477.8751153576595,0.3302351136096804,1.1552490305523788,1.1552490305523788
