quarter_region,province_full,table_id,table_name,year,city,activity_group,annual_gva_eok,latest_change_date
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강북구,사업서비스업,2485.08,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강북구,숙박 및 음식점업,2319.65,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강북구,운수 및 창고업,1926.68,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강북구,정보통신업,461.05,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,건설업,9714.84,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,"공공 행정, 국방·사회보장",2603.48,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,"광업, 제조업",7969.72,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,교육 서비스업,6991.33,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,금융 및 보험업,3242.82,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,도매 및 소매업,22384.86,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,문화 및 기타서비스업,6677.17,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,보건 및 사회복지업,13453.87,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,부동산업,27161.71,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,사업서비스업,22628.06,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,숙박 및 음식점업,5335.08,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,운수 및 창고업,17135.59,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,강서구,정보통신업,17029.02,2025-10-29
