track,quarter_region,year,activity,predicted_eok,actual_eok,abs_error_eok,ape_pct
recursive_no_target_actual,제주,2024,"광업, 제조업",8270.282058547207,7463.62,806.6620585472074,10.80791972993276
recursive_no_target_actual,강원,2021,문화 및 기타서비스업,21632.82123911395,24249.260000000002,2616.4387608860525,10.78976744397995
recursive_no_target_actual,인천,2025,건설업,69745.2224297809,62956.79,6788.4324297809,10.782685123845894
recursive_no_target_actual,광주,2025,건설업,18390.16095266909,16614.85,1775.3109526690932,10.68508564729199
recursive_no_target_actual,광주,2023,건설업,20886.678739752817,18876.48,2010.1987397528173,10.649224536316185
recursive_no_target_actual,인천,2023,건설업,79213.33903888472,71611.20000000001,7602.139038884707,10.61585204393266
recursive_no_target_actual,인천,2023,정보통신업,20098.777431091523,18172.53,1926.247431091524,10.599775766453675
recursive_no_target_actual,경기도,2024,건설업,328734.3538690836,297256.66000000003,31477.693869083596,10.589399029472911
recursive_no_target_actual,대구,2021,건설업,36719.8454828078,41049.64,4329.7945171921965,10.54770399251296
recursive_no_target_actual,강원,2025,"광업, 제조업",62582.88898158554,56626.65,5956.238981585535,10.518437840814412
recursive_no_target_actual,서울,2024,건설업,124646.02123461466,139276.62,14630.598765385337,10.504705502894412
recursive_no_target_actual,대전,2023,건설업,24118.417996220276,26948.850000000002,2830.432003779726,10.502978805328338
recursive_no_target_actual,울산,2022,건설업,23736.509526558442,26504.16,2767.6504734415576,10.442324802753824
recursive_no_target_actual,세종,2024,도매 및 소매업,3305.802007293991,3690.55,384.747992706009,10.42522097535622
recursive_no_target_actual,광주,2023,정보통신업,16006.808417513186,14520.46,1486.348417513187,10.236235060825809
recursive_no_target_actual,전남,2021,사업서비스업,29066.25694769332,32375.12,3308.8630523066786,10.220388533870079
recursive_no_target_actual,경북,2023,운수 및 창고업,46565.67700740695,42277.899999999994,4287.777007406956,10.141887386570659
recursive_no_target_actual,충북,2025,건설업,39291.805496052286,43703.439999999995,4411.634503947709,10.094478841820482
