track,quarter_region,available_quarters,operating_label,years,annualized_abs_error_sum_eok,annualized_wape_pct,annualized_max_ape_pct,cumulative_wape_pct,cumulative_max_ape_pct
prior_year_province_anchor,강원,1,1분기+1개월,5,71258.49807879166,2.5644256824890532,5.082282599214032,3.2848434057960834,4.8883563038182505
prior_year_province_anchor,강원,2,1~2분기+1개월,5,47371.93964325439,1.7048046468248388,3.753409904022992,2.0795158394784448,3.7339186754440488
prior_year_province_anchor,강원,3,1~3분기+1개월,5,44768.689671970555,1.6111198055176648,2.998962667238929,1.2818762315486125,2.1217185028637213
prior_year_province_anchor,강원,4,공표 후 정밀화,5,38763.66896369797,1.3950132393766634,2.097871604710373,1.3950132393766634,2.097871604710373
prior_year_province_anchor,경기도,1,1분기+1개월,5,358895.84843593463,1.2318902869922301,3.094930536526503,1.1349967720600203,3.2952333910437033
prior_year_province_anchor,경기도,2,1~2분기+1개월,5,164124.67297463585,0.5633489252504442,1.5886951286301287,1.2528243791873357,2.4295392425728495
prior_year_province_anchor,경기도,3,1~3분기+1개월,5,160108.06709898636,0.5495621461989395,0.964395730493163,1.0139498357786947,1.2799791868104715
prior_year_province_anchor,경기도,4,공표 후 정밀화,5,253945.17600704078,0.8716528684155247,1.210892002585629,0.8716528684155247,1.210892002585629
prior_year_province_anchor,경남,1,1분기+1개월,5,81994.76855502464,1.323346468030351,2.1700791777242854,1.1388959047019929,2.4954960258443437
prior_year_province_anchor,경남,2,1~2분기+1개월,5,91166.73304274958,1.4713764829158165,3.580182491527193,1.3334848629641993,2.245687370058815
prior_year_province_anchor,경남,3,1~3분기+1개월,5,87301.43477357877,1.4089928832967948,3.260289309993701,1.4778819803884828,2.58748553209496
prior_year_province_anchor,경남,4,공표 후 정밀화,5,94123.24678553944,1.5190928444368395,2.7401081374180327,1.5190928444368395,2.7401081374180327
prior_year_province_anchor,경북,1,1분기+1개월,5,124657.05865074322,2.117740079477763,4.124131481679722,2.0263261299477544,3.701135722940655
prior_year_province_anchor,경북,2,1~2분기+1개월,5,125113.06575900922,2.125486969546839,3.3683531580595982,2.09882949061277,3.7190802993144576
prior_year_province_anchor,경북,3,1~3분기+1개월,5,110920.71323565976,1.884379774446216,2.960971055458247,1.622206498177648,2.758425932628893
prior_year_province_anchor,경북,4,공표 후 정밀화,5,79918.73779344116,1.3577018097357096,2.347949523262826,1.3577018097357096,2.347949523262826
prior_year_province_anchor,광주,1,1분기+1개월,5,37269.951088548114,1.5346219604974085,2.7808055343666402,1.507506353873561,2.133698260917268
prior_year_province_anchor,광주,2,1~2분기+1개월,5,26064.344121449103,1.073221555341073,2.414591855987539,0.5044013209221081,0.9626416307968932
prior_year_province_anchor,광주,3,1~3분기+1개월,5,26760.412082645053,1.1018827461409233,2.470994131221863,0.5575515837034961,1.0175828396728603
prior_year_province_anchor,광주,4,공표 후 정밀화,5,22235.67538737884,0.9155728612278303,1.8487245369570975,0.9155728612278303,1.8487245369570975
prior_year_province_anchor,대구,1,1분기+1개월,5,84727.04919565155,2.5488053953255143,4.917516966756908,0.8508998333753318,1.6537027256745669
prior_year_province_anchor,대구,2,1~2분기+1개월,5,59880.374594502966,1.8013541518263465,3.846446116429683,0.7310011843335918,1.413299901685921
prior_year_province_anchor,대구,3,1~3분기+1개월,5,60339.1416221034,1.815155032256459,3.416242143073823,1.1236987561734237,1.8216498471464442
prior_year_province_anchor,대구,4,공표 후 정밀화,5,53222.97943884169,1.601082752637405,2.8657555514722426,1.601082752637405,2.8657555514722426
prior_year_province_anchor,대전,1,1분기+1개월,5,17193.89798816346,0.695869932734486,1.4566437786648507,0.556471595477418,1.0376471143249342
prior_year_province_anchor,대전,2,1~2분기+1개월,5,20375.013991170446,0.8246157808578711,1.542431260229558,0.443718625897169,0.9166708818750715
prior_year_province_anchor,대전,3,1~3분기+1개월,5,21687.751951660495,0.8777447965640873,1.5574372556445442,0.8062917302198663,1.5218003419902824
prior_year_province_anchor,대전,4,공표 후 정밀화,5,23018.728404904832,0.9316119589508784,1.6844255710144769,0.9316119589508784,1.6844255710144769
prior_year_province_anchor,부산,1,1분기+1개월,5,50284.532138534705,0.9572949088189051,1.8798708658131331,1.2567615143424467,2.4914150851947605
prior_year_province_anchor,부산,2,1~2분기+1개월,5,62482.78592365596,1.189519924113992,1.6271658791572854,1.1044073282154399,1.773985486576766
prior_year_province_anchor,부산,3,1~3분기+1개월,5,59976.9806171559,1.141815499703814,1.8046080704687784,1.081392352936319,1.6153461220555818
prior_year_province_anchor,부산,4,공표 후 정밀화,5,58981.06717292254,1.122855735552836,1.7992129734931264,1.122855735552836,1.7992129734931264
prior_year_province_anchor,서울,1,1분기+1개월,5,366767.89311828837,1.4401228937828956,2.699991199322732,0.19074502851524042,0.4702541991187064
prior_year_province_anchor,서울,2,1~2분기+1개월,5,192052.89677889366,0.7541002870155997,2.077918222549195,0.4078584870951916,0.8032272946262787
prior_year_province_anchor,서울,3,1~3분기+1개월,5,127622.09948942065,0.501111222317591,1.5240594068934552,0.43426810990811104,0.5627868763895828
prior_year_province_anchor,서울,4,공표 후 정밀화,5,83603.64852098376,0.3282717230649644,1.0092256043636088,0.3282717230649644,1.0092256043636088
prior_year_province_anchor,세종,1,1분기+1개월,5,24138.490829885617,3.1266105858609503,5.258836617159403,2.1245586478417104,5.0881239591171035
prior_year_province_anchor,세종,2,1~2분기+1개월,5,16101.542932411045,2.0856007501032945,3.7234611349811195,1.439717758561724,4.158312812253737
prior_year_province_anchor,세종,3,1~3분기+1개월,5,12883.169914205559,1.668731310382062,2.4979992599664613,0.9919495624675806,3.1458410242564647
prior_year_province_anchor,세종,4,공표 후 정밀화,5,8918.84646242953,1.1552403984003667,3.191801745206068,1.1552403984003667,3.191801745206068
prior_year_province_anchor,울산,1,1분기+1개월,5,103974.0192708841,2.658763347111737,6.122206204398246,2.0611617286664825,4.908158821944349
prior_year_province_anchor,울산,2,1~2분기+1개월,5,67371.55029495398,1.722786228890923,5.19785821939952,3.299313217273435,5.850321218351106
prior_year_province_anchor,울산,3,1~3분기+1개월,5,62605.38730633876,1.6009086718881873,4.6804310665122975,2.2456801767045116,4.4393291483027655
prior_year_province_anchor,울산,4,공표 후 정밀화,5,71052.93318185257,1.816924417979005,3.7979219377068265,1.816924417979005,3.7979219377068265
prior_year_province_anchor,인천,1,1분기+1개월,5,129375.98157593294,2.3484476171262534,5.1981264870249,1.7882561616170733,2.8889755386857106
prior_year_province_anchor,인천,2,1~2분기+1개월,5,105179.44076901802,1.9092292405116857,4.591266760702978,1.6792556358716206,3.9184350328816677
prior_year_province_anchor,인천,3,1~3분기+1개월,5,107949.22120196978,1.9595066117709776,4.18541923709782,2.004286201716444,4.127412736026277
prior_year_province_anchor,인천,4,공표 후 정밀화,5,115084.66720504558,2.0890300438557907,4.003672477489947,2.0890300438557907,4.003672477489947
prior_year_province_anchor,전남,1,1분기+1개월,5,84203.15669731738,1.9491551815244261,4.219559787412923,1.7369800076405033,2.499675631426064
prior_year_province_anchor,전남,2,1~2분기+1개월,5,68467.5312396296,1.5849030905293986,3.7904656367034946,1.4660776402684352,2.738175087499389
prior_year_province_anchor,전남,3,1~3분기+1개월,5,74468.24256936554,1.7238090180498065,3.9344067661941753,1.5686016239497744,2.5916077396591133
prior_year_province_anchor,전남,4,공표 후 정밀화,5,69199.42773373495,1.6018452088510795,3.222980649512667,1.6018452088510795,3.222980649512667
prior_year_province_anchor,전북,1,1분기+1개월,5,56512.853373329155,1.9203786959142515,3.087798191728282,2.6379303725524172,3.4121264712095534
prior_year_province_anchor,전북,2,1~2분기+1개월,5,50450.29230413085,1.7143651534187652,2.464855880252379,1.466425478053266,2.158322991127201
prior_year_province_anchor,전북,3,1~3분기+1개월,5,47706.57169634872,1.6211300345349542,2.4087072460306636,1.6305799012257176,2.1228778198060962
prior_year_province_anchor,전북,4,공표 후 정밀화,5,35258.12756258354,1.1981160565671822,2.2575980457929403,1.1981160565671822,2.2575980457929403
prior_year_province_anchor,제주,1,1분기+1개월,5,21457.15915123123,1.8205880235291867,2.8275077479058623,2.3020322908104567,4.902783923691179
prior_year_province_anchor,제주,2,1~2분기+1개월,5,19144.259097194037,1.624344051607186,2.3129026705583327,1.8576748005080426,2.6433077140727352
prior_year_province_anchor,제주,3,1~3분기+1개월,5,19602.619625287654,1.6632348330952784,2.8934356912158816,1.6977282247059764,2.760446667656094
prior_year_province_anchor,제주,4,공표 후 정밀화,5,20124.394889582618,1.7075062014741942,2.8074577836730565,1.7075062014741942,2.8074577836730565
prior_year_province_anchor,충남,1,1분기+1개월,5,116097.01404837635,1.7440087499691577,4.16875515662167,1.5460991517192557,2.4842129605014045
prior_year_province_anchor,충남,2,1~2분기+1개월,5,71149.39082446089,1.0688057842825327,2.796679082806842,1.4008802659811586,2.9333945228804192
prior_year_province_anchor,충남,3,1~3분기+1개월,5,72454.40979447216,1.0884097725610513,2.1901345355357216,0.9807822323021381,1.816430741274017
prior_year_province_anchor,충남,4,공표 후 정밀화,5,79197.17408643337,1.1896995431942556,2.1145773754976074,1.1896995431942556,2.1145773754976074
prior_year_province_anchor,충북,1,1분기+1개월,5,117530.56435163587,2.8395461647525395,6.65437149777775,1.8975839513548622,5.3347978109115335
prior_year_province_anchor,충북,2,1~2분기+1개월,5,93557.12462531833,2.2603462842250908,5.360686701670678,2.353316085017708,4.263620439119578
prior_year_province_anchor,충북,3,1~3분기+1개월,5,87172.33403358096,2.1060893235993112,4.7494407796872835,2.4426870277014525,3.769095281492576
prior_year_province_anchor,충북,4,공표 후 정밀화,5,98960.665885053,2.3908961964526507,4.075567654963283,2.3908961964526507,4.075567654963283
recursive_no_target_actual,강원,1,1분기+1개월,5,79547.12402232934,2.8627138279766338,4.737979787418867,3.5970712112195056,5.663083093076
recursive_no_target_actual,강원,2,1~2분기+1개월,5,56642.53277015709,2.038431480781524,3.495221256664053,2.41573517620567,4.228169512560676
recursive_no_target_actual,강원,3,1~3분기+1개월,5,54698.502509744605,1.9684704057975226,3.409598566693009,1.6400157265316513,2.374358579385951
recursive_no_target_actual,강원,4,공표 후 정밀화,5,48738.75903823797,1.7539932608753959,3.0437265882545215,1.7539932608753959,3.0437265882545215
recursive_no_target_actual,경기도,1,1분기+1개월,5,460039.2546599526,1.579059473439141,3.239263534730373,1.3366611826933505,3.2952333910437033
recursive_no_target_actual,경기도,2,1~2분기+1개월,5,232775.19035059307,0.7989880554353934,2.8411700307343986,1.4393207905804444,2.4295392425728495
recursive_no_target_actual,경기도,3,1~3분기+1개월,5,212882.43069548998,0.7307072505517815,2.2160343650021934,1.2001597844365126,2.0657238432955425
recursive_no_target_actual,경기도,4,공표 후 정밀화,5,306914.1511191875,1.053465966106552,2.099489248481451,1.053465966106552,2.099489248481451
recursive_no_target_actual,경남,1,1분기+1개월,5,58574.906738731544,0.9453639215517667,2.1700791777242854,1.4790426867471949,2.4954960258443437
recursive_no_target_actual,경남,2,1~2분기+1개월,5,92290.91867844877,1.4895201659413333,3.580182491527193,1.7418578151040611,2.31985415002426
recursive_no_target_actual,경남,3,1~3분기+1개월,5,85717.14709158684,1.3834234287418854,3.260289309993701,1.5466936771557542,2.58748553209496
recursive_no_target_actual,경남,4,공표 후 정밀화,5,94321.38281754986,1.522290641354512,2.7401081374180327,1.522290641354512,2.7401081374180327
recursive_no_target_actual,경북,1,1분기+1개월,5,122001.93669057428,2.072633462557616,3.6834727708068655,1.757927941413212,3.701135722940655
recursive_no_target_actual,경북,2,1~2분기+1개월,5,128644.3239433153,2.185477852284102,3.3683531580595982,2.2933431116892176,3.7190802993144576
recursive_no_target_actual,경북,3,1~3분기+1개월,5,122129.2648962983,2.074796581497116,2.960971055458247,1.7504335053355877,2.758425932628893
recursive_no_target_actual,경북,4,공표 후 정밀화,5,90848.70933332201,1.5433859502736986,2.347949523262826,1.5433859502736986,2.347949523262826
recursive_no_target_actual,광주,1,1분기+1개월,5,45512.98092652537,1.8740357305971018,2.858419223236944,1.1927140889034038,2.133698260917268
recursive_no_target_actual,광주,2,1~2분기+1개월,5,34333.323820858786,1.4137038330739387,2.414591855987539,0.4342601295281361,0.740405314879044
recursive_no_target_actual,광주,3,1~3분기+1개월,5,35062.95108458551,1.4437468567213916,2.470994131221863,0.6587795775732195,1.2455658530033926
recursive_no_target_actual,광주,4,공표 후 정밀화,5,28965.34029792057,1.1926725422542293,1.9866607266640641,1.1926725422542293,1.9866607266640641
