track,route_id,activity,available_quarters,rows,baseline_abs_error_sum_eok,candidate_abs_error_sum_eok,official_sum_eok,improved_rows,baseline_wape_pct,candidate_wape_pct,delta_wape_pp,adopt_route
prior_year_province_anchor,regional_construction_orders_bok_12_24q,건설업,1,22,85460.64541278541,92399.4092613943,899593.6799999999,8,9.499916163571248,10.271238150694247,0.7713219871229988,False
prior_year_province_anchor,regional_construction_orders_bok_12_24q,건설업,2,22,82605.44293421146,86731.35072409105,899593.6799999999,9,9.182528153622806,9.641169413739219,0.45864126011641204,False
prior_year_province_anchor,regional_construction_orders_bok_12_24q,건설업,3,22,77172.65061108576,78039.93310053114,899593.6799999999,12,8.578611914112798,8.675020160271817,0.09640824615901877,False
prior_year_province_anchor,regional_construction_orders_bok_12_24q,건설업,4,22,72908.0015165923,71638.44024515711,899593.6799999999,14,8.10454799066533,7.963421913452873,-0.14112607721245674,True
prior_year_province_anchor,regional_construction_orders_raw,건설업,1,22,85460.64541278541,705630.7576792527,899593.6799999999,2,9.499916163571248,78.43883003705103,68.93891387347979,False
prior_year_province_anchor,regional_construction_orders_raw,건설업,2,22,82605.44293421146,399979.4111191537,899593.6799999999,5,9.182528153622806,44.46223000579037,35.27970185216756,False
prior_year_province_anchor,regional_construction_orders_raw,건설업,3,22,77172.65061108576,338113.5869394579,899593.6799999999,5,8.578611914112798,37.585144766630414,29.006532852517616,False
prior_year_province_anchor,regional_construction_orders_raw,건설업,4,22,72908.0015165923,271742.23320996715,899593.6799999999,4,8.10454799066533,30.20721902025447,22.10267102958914,False
prior_year_province_anchor,regional_manufacturing_production_index,"광업, 제조업",1,14,155813.13022164343,198295.28734194848,3861314.0400000005,6,4.035235896576892,5.135435379971023,1.1001994833941309,False
prior_year_province_anchor,regional_manufacturing_production_index,"광업, 제조업",2,14,132298.97428227717,315513.771743623,3861314.0400000005,4,3.4262681799970136,8.171150247691921,4.744882067694908,False
prior_year_province_anchor,regional_manufacturing_production_index,"광업, 제조업",3,14,123451.0187536556,477325.4018734963,3861314.0400000005,3,3.1971245403716395,12.361734811745492,9.164610271373853,False
prior_year_province_anchor,regional_manufacturing_production_index,"광업, 제조업",4,14,132142.63361102232,573533.2132451485,3861314.0400000005,3,3.422219281885249,14.853316961630721,11.431097679745472,False
prior_year_province_anchor,regional_service_production_index_G,도매 및 소매업,1,21,23313.88947019833,30613.201226974583,801209.8499999999,13,2.909835603019401,3.8208718011859926,0.9110361981665918,False
prior_year_province_anchor,regional_service_production_index_G,도매 및 소매업,2,21,17436.00799125025,22144.712532134145,801209.8499999999,10,2.176209889487786,2.7639091721268962,0.5876992826391101,False
prior_year_province_anchor,regional_service_production_index_G,도매 및 소매업,3,21,14686.682327512046,16642.737682484578,801209.8499999999,10,1.8330631266592703,2.0772008335250223,0.24413770686575198,False
prior_year_province_anchor,regional_service_production_index_G,도매 및 소매업,4,21,14931.962555220678,14690.47552192328,801209.8499999999,12,1.8636768575948834,1.8335365599815432,-0.03014029761334025,True
