track,year,quarters,official_national_gdp_sum_eok,covered17_predicted_sum_eok,national_abs_error_sum_eok,national_wape_pct
prior_year_province_anchor,2021,4,21559933.59,21559933.680373058,0.09037305694073439,4.191713140649539e-07
prior_year_province_anchor,2022,4,22149106.82,22140190.657499738,10114.933740136214,0.04566745658115081
prior_year_province_anchor,2023,4,22501383.509999998,22485852.03218768,15531.477812316269,0.0690245460036438
prior_year_province_anchor,2024,4,22953418.11,22924254.00357753,29164.10642246902,0.12705779279890014
prior_year_province_anchor,2025,4,23205968.86,23195923.418932002,12567.162663048133,0.05415487170074628
recursive_no_target_actual,2021,4,21559933.59,21559933.680373058,0.09037305694073439,4.191713140649539e-07
recursive_no_target_actual,2022,4,22149106.82,22140190.657499738,10114.933740136214,0.04566745658115081
recursive_no_target_actual,2023,4,22501383.509999998,22485852.03218768,15531.477812316269,0.0690245460036438
recursive_no_target_actual,2024,4,22953418.11,22954898.173045233,7557.769263525493,0.03292655249560778
recursive_no_target_actual,2025,4,23205968.86,23218147.763464525,14528.746219476685,0.06260779848119079
