track,available_quarters,operating_label,rows,baseline_abs_error_sum_eok,routed_abs_error_sum_eok,official_sum_eok,max_baseline_ape_pct,max_routed_ape_pct,adopted_main_rows,baseline_wape_pct,routed_wape_pct,delta_wape_pp
prior_year_province_anchor,1,1분기+1개월,25,459746.1052239901,275630.83180159464,17654897.950000003,6.65437149777775,6.122206204398246,26.0,2.604071156491675,1.5612145285812575,-1.0428566279104174
prior_year_province_anchor,2,1~2분기+1개월,25,342090.0332162044,261802.56334699717,17654897.950000003,5.360686701670678,5.19785821939952,23.0,1.9376494510760078,1.4828891341566612,-0.4547603169193466
prior_year_province_anchor,3,1~3분기+1개월,25,330949.25407819846,205962.8006306952,17654897.950000003,4.7494407796872835,3.2816355045848136,26.0,1.8745464007521968,1.16660431124551,-0.7079420895066868
prior_year_province_anchor,4,공표 후 정밀화,25,347240.09217322234,223602.80982206602,17654897.950000003,4.075567654963283,3.334894192748844,26.0,1.9668201603692776,1.2665199790750756,-0.700300181294202
recursive_no_target_actual,1,1분기+1개월,25,603303.4579118597,293793.55767685047,17654897.950000003,9.3842497959956,6.122206204398246,29.0,3.4172016152144318,1.6640909424053079,-1.753110672809124
recursive_no_target_actual,2,1~2분기+1개월,25,505499.0293714743,247870.9193912163,17654897.950000003,8.072839978347238,5.19785821939952,28.0,2.8632226071376086,1.403978205329792,-1.4592444018078166
recursive_no_target_actual,3,1~3분기+1개월,25,486661.1284205386,232825.32705821548,17654897.950000003,7.452547546872015,3.4418535677515862,29.0,2.756521900034764,1.318757705185237,-1.4377641948495268
recursive_no_target_actual,4,공표 후 정밀화,25,500345.3700443377,258444.94843990193,17654897.950000003,6.763306025576184,3.381402190740241,28.0,2.8340315048059375,1.4638710978213378,-1.3701604069845996
