quarter_region,activity,route_id,year,available_quarters,candidate_cumulative_eok,candidate_annualized_eok,official_annual_eok,candidate_annualized_error_eok,candidate_annualized_ape_pct,track,annualized_predicted_eok,annualized_error_eok,annualized_ape_pct,candidate_abs_error_eok,baseline_abs_error_eok,improves,error_reduction_eok,selected_predicted_eok,selected_error_eok,selected_route_id,selected_abs_error_eok,selected_ape_pct
대구,건설업,regional_construction_orders_bok_12_24q,2021,1,10794.874315963996,48885.42729735104,41049.64,7835.787297351038,19.088565203863027,prior_year_province_anchor,36140.52852048918,-4909.111479510822,11.9589635366128,7835.787297351038,4909.111479510822,False,-2926.675817840216,36140.52852048918,-4909.111479510822,baseline,4909.111479510822,11.958963536612801
대구,건설업,regional_construction_orders_bok_12_24q,2021,2,21963.229722395,46843.12061153182,41049.64,5793.480611531821,14.113353031918965,prior_year_province_anchor,36167.22266941562,-4882.41733058438,11.893934588913275,5793.480611531821,4882.41733058438,False,-911.063280947441,36167.22266941562,-4882.41733058438,baseline,4882.41733058438,11.893934588913275
대구,건설업,regional_construction_orders_bok_12_24q,2021,3,32864.31332668399,44795.509969383485,41049.64,3745.869969383486,9.125220024788247,prior_year_province_anchor,36388.064404624485,-4661.575595375514,11.355947568299053,3745.869969383486,4661.575595375514,True,915.7056259920282,44795.509969383485,3745.869969383486,regional_construction_orders_bok_12_24q,3745.869969383486,9.125220024788247
대구,건설업,regional_construction_orders_bok_12_24q,2021,4,44134.80735939709,44134.80735939709,41049.64,3085.167359397092,7.515698942541498,prior_year_province_anchor,36719.8454828078,-4329.7945171921965,10.54770399251296,3085.167359397092,4329.7945171921965,True,1244.6271577951047,44134.80735939709,3085.167359397092,regional_construction_orders_bok_12_24q,3085.167359397092,7.515698942541498
대구,건설업,regional_construction_orders_bok_12_24q,2022,1,10773.441704854982,44047.18020091259,41365.55,2681.6302009125866,6.482762107387878,prior_year_province_anchor,41054.005149767014,-311.5448502329891,0.7531505086551227,2681.6302009125866,311.5448502329891,False,-2370.0853506795975,41054.005149767014,-311.5448502329891,baseline,311.5448502329891,0.7531505086551227
대구,건설업,regional_construction_orders_bok_12_24q,2022,2,21167.41800763464,42535.63468901853,41365.55,1170.0846890185276,2.828645307553091,prior_year_province_anchor,40844.59521579461,-520.9547842053944,1.259392862431164,1170.0846890185276,520.9547842053944,False,-649.1299048131332,40844.59521579461,-520.9547842053944,baseline,520.9547842053944,1.2593928624311639
대구,건설업,regional_construction_orders_bok_12_24q,2022,3,31158.070374129707,41843.42511535766,41365.55,477.8751153576595,1.1552490305523788,prior_year_province_anchor,41228.946428962234,-136.60357103776914,0.3302351136096804,477.8751153576595,136.60357103776914,False,-341.2715443198904,41228.946428962234,-136.60357103776914,baseline,136.60357103776914,0.3302351136096804
대구,건설업,regional_construction_orders_bok_12_24q,2022,4,40300.450481588814,40300.450481588814,41365.55,-1065.099518411189,2.5748467466555836,prior_year_province_anchor,41456.56356672509,91.013566725087,0.2200226196075889,1065.099518411189,91.013566725087,False,-974.0859516861019,41456.56356672509,91.013566725087,baseline,91.013566725087,0.2200226196075889
대구,건설업,regional_construction_orders_bok_12_24q,2024,1,7687.313084594952,26426.651098490096,31555.25,-5128.598901509904,16.25275952974514,prior_year_province_anchor,41562.76296184352,10007.512961843517,31.71425661924249,5128.598901509904,10007.512961843517,True,4878.914060333613,26426.651098490096,-5128.598901509904,regional_construction_orders_bok_12_24q,5128.598901509904,16.25275952974514
대구,건설업,regional_construction_orders_raw,2024,2,12296.129325745967,27891.929909027924,31555.25,-3663.3200909720763,11.609225377622032,prior_year_province_anchor,40546.78762125715,8991.53762125715,28.494585279017436,3663.3200909720763,8991.53762125715,True,5328.217530285074,27891.929909027924,-3663.3200909720763,regional_construction_orders_raw,3663.3200909720763,11.609225377622032
대구,건설업,regional_construction_orders_bok_12_24q,2024,3,21007.374468410275,27068.302602734195,31555.25,-4486.947397265805,14.219337185621427,prior_year_province_anchor,39499.71634908728,7944.4663490872845,25.176369539418275,4486.947397265805,7944.4663490872845,True,3457.5189518214793,27068.302602734195,-4486.947397265805,regional_construction_orders_bok_12_24q,4486.947397265805,14.219337185621427
대구,건설업,regional_construction_orders_bok_12_24q,2024,4,26637.491602359234,26637.491602359234,31555.25,-4917.758397640766,15.584596533511114,prior_year_province_anchor,38927.34928201584,7372.099282015843,23.362512678606073,4917.758397640766,7372.099282015843,True,2454.3408843750767,26637.491602359234,-4917.758397640766,regional_construction_orders_bok_12_24q,4917.758397640766,15.584596533511114
대구,건설업,regional_construction_orders_bok_12_24q,2025,1,5772.851932428084,20003.646681162692,25481.89,-5478.243318837307,21.49857533659123,prior_year_province_anchor,27670.30629118517,2188.416291185171,8.588123923245767,5478.243318837307,2188.416291185171,False,-3289.827027652136,27670.30629118517,2188.416291185171,baseline,2188.416291185171,8.588123923245767
