track,activity,available_quarters,rows,adopted_rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
prior_year_province_anchor,건설업,1,22,4,899593.6799999999,85460.64541278541,70099.33042785086,31.71425661924249,9.499916163571248,7.792332470349376,-1.7075836932218715
prior_year_province_anchor,건설업,2,22,6,899593.6799999999,82605.44293421146,72944.68682894594,28.494585279017436,9.182528153622806,8.10862597755755,-1.073902176065257
prior_year_province_anchor,건설업,3,22,11,899593.6799999999,77172.65061108576,64045.25271109239,18.045917500614113,8.578611914112798,7.1193533408429905,-1.4592585732698078
prior_year_province_anchor,건설업,4,22,11,899593.6799999999,72908.0015165923,61342.25934273807,15.584596533511114,8.10454799066533,6.818885092960866,-1.285662897704463
prior_year_province_anchor,"광업, 제조업",1,14,2,3861314.0400000005,155813.13022164343,151892.46633831877,14.82804186525617,4.035235896576892,3.933698859114778,-0.10153703746211384
prior_year_province_anchor,"광업, 제조업",2,14,1,3861314.0400000005,132298.97428227717,153776.35140967462,20.235932942832594,3.4262681799970136,3.982487562956019,0.5562193829590054
prior_year_province_anchor,"광업, 제조업",3,14,1,3861314.0400000005,123451.0187536556,270830.1485827329,45.38825513528681,3.1971245403716395,7.013937374094878,3.8168128337232385
prior_year_province_anchor,"광업, 제조업",4,14,1,3861314.0400000005,132142.63361102232,331046.94639703666,59.35469667855071,3.422219281885249,8.573427153752991,5.151207871867742
prior_year_province_anchor,교육 서비스업,1,23,1,786208.4600000002,9399.695254753662,9717.21297593908,4.631097568299943,1.1955728961188816,1.2359588417477825,0.040385945628900854
prior_year_province_anchor,교육 서비스업,2,23,0,786208.4600000002,7801.620094452817,7801.620094452817,4.806152086031524,0.9923093545003083,0.9923093545003083,0.0
prior_year_province_anchor,교육 서비스업,3,23,2,786208.4600000002,6144.184533135975,7033.151941448241,5.747904204983548,0.7814956014510417,0.8945657925695991,0.11307019111855743
prior_year_province_anchor,교육 서비스업,4,23,2,786208.4600000002,5833.181735033515,6875.665834855308,5.474852530589206,0.7419383066716826,0.8745347048103891,0.1325963981387065
prior_year_province_anchor,금융 및 보험업,1,24,6,606726.34,13733.200683709409,17763.40415310549,10.09138824662518,2.26349175539493,2.927745670825086,0.6642539154301561
prior_year_province_anchor,금융 및 보험업,2,24,6,606726.34,10757.845463017413,13391.998251184192,6.867075427386355,1.7730968236878284,2.2072551277704857,0.4341583040826573
prior_year_province_anchor,금융 및 보험업,3,24,8,606726.34,11640.172753680288,15701.153255225187,6.015438012494903,1.9185210837690498,2.5878476374085206,0.6693265536394708
prior_year_province_anchor,금융 및 보험업,4,24,14,606726.34,14700.493627207585,11820.098719372641,7.245215041096276,2.422919965401137,1.9481762930174815,-0.47474367238365556
prior_year_province_anchor,도매 및 소매업,1,21,8,801209.8499999999,23313.88947019833,23527.35505502568,9.63826696286074,2.909835603019401,2.9364785087234866,0.026642905704085784
prior_year_province_anchor,도매 및 소매업,2,21,4,801209.8499999999,17436.00799125025,17872.571872548328,5.2894118884563035,2.176209889487786,2.230697971642302,0.05448808215451573
prior_year_province_anchor,도매 및 소매업,3,21,4,801209.8499999999,14686.682327512046,14991.51932477732,4.304443945466576,1.8330631266592703,1.8711102122343257,0.03804708557505543
prior_year_province_anchor,도매 및 소매업,4,21,8,801209.8499999999,14931.962555220678,13391.34860025875,5.441710253610558,1.8636768575948834,1.6713909096672679,-0.19228594792761555
prior_year_province_anchor,문화 및 기타서비스업,1,25,1,461528.81999999995,19597.385451648654,19799.267852147554,11.055242819410903,4.24618888407633,4.289930984623572,0.04374210054724159
