track,available_quarters,operating_label,year,regions,annualized_wape_pct,cumulative_wape_pct,max_region_annualized_ape_pct,regions_over_5pct,regions_over_10pct
prior_year_province_anchor,1,1분기+1개월,2021,17.0,2.193811804553028,0.8038996551267709,3.1542166558716223,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,2022,17.0,1.035446610836151,1.0395885508317466,4.219559787412923,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,2023,17.0,1.4201679168720887,1.8660863160827212,6.122206204398246,2.0,0.0
prior_year_province_anchor,1,1분기+1개월,2024,17.0,1.784959998501974,1.418963967383611,6.65437149777775,3.0,0.0
prior_year_province_anchor,1,1분기+1개월,2025,17.0,1.787366224595543,0.8913314604852908,4.1009761601640635,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,2021,17.0,1.0142636666424703,1.1521093562621587,3.580182491527193,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,2022,17.0,0.9126638406139732,1.286585221999713,3.7904656367034946,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,2023,17.0,1.066660517233423,1.539987009676762,5.19785821939952,1.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,2024,17.0,1.0683028789681581,1.3367276008861828,5.360686701670678,1.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,2025,17.0,1.6117296886685735,0.8787160945110968,3.81839745398174,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,2021,17.0,0.9512185875672954,1.1553158619302115,3.260289309993701,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,2022,17.0,0.8791791426795977,1.0966378690070329,3.9344067661941753,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,2023,17.0,0.9790572265658511,1.2131750746357244,4.6804310665122975,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,2024,17.0,1.0281235913895455,1.0962130391300695,4.7494407796872835,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,2025,17.0,1.4144447124621857,1.0741576376554571,3.2816355045848136,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,2021,17.0,0.9632972425470596,0.9632972425470596,3.191801745206068,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,2022,17.0,0.9745719254232654,0.9745719254232654,3.543237755134284,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,2023,17.0,1.0716748400394474,1.0716748400394474,4.003672477489947,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,2024,17.0,1.1044121461587686,1.1044121461587686,4.075567654963283,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,2025,17.0,1.238646500072925,1.238646500072925,3.334894192748844,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,2021,17.0,2.193811804553028,0.8038996551267709,3.1542166558716223,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,2022,17.0,1.035446610836151,1.0395885508317466,4.219559787412923,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,2023,17.0,1.4201679168720887,1.8660863160827212,6.122206204398246,2.0,0.0
recursive_no_target_actual,1,1분기+1개월,2024,17.0,2.278675737707591,1.7765914101662776,9.3842497959956,5.0,0.0
recursive_no_target_actual,1,1분기+1개월,2025,17.0,2.5155787744464226,1.766455048196347,5.567359814241888,2.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,2021,17.0,1.0142636666424703,1.1521093562621587,3.580182491527193,0.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,2022,17.0,0.9126638406139732,1.286585221999713,3.7904656367034946,0.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,2023,17.0,1.066660517233423,1.539987009676762,5.19785821939952,1.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,2024,17.0,1.6231927312693775,1.8362553891308684,8.072839978347238,1.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,2025,17.0,2.3331844877305383,1.9616208895633696,5.524776689254772,2.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,2021,17.0,0.9512185875672954,1.1553158619302115,3.260289309993701,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,2022,17.0,0.8791791426795977,1.0966378690070329,3.9344067661941753,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,2023,17.0,0.9790572265658511,1.2131750746357244,4.6804310665122975,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,2024,17.0,1.5775067718439446,1.6224423111716897,7.452547546872015,1.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,2025,17.0,2.079466579977251,1.7897462810399545,6.030319394106825,2.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,2021,17.0,0.9632972425470596,0.9632972425470596,3.191801745206068,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,2022,17.0,0.9745719254232654,0.9745719254232654,3.543237755134284,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,2023,17.0,1.0716748400394474,1.0716748400394474,4.003672477489947,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,2024,17.0,1.646162879744224,1.646162879744224,6.763306025576184,1.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,2025,17.0,1.9017120215224028,1.9017120215224028,6.086156908902212,1.0,0.0
