track,quarter_region,year,official_sum_eok,predicted_sum_eok,abs_error_sum_eok,wape_pct,max_ape_pct
prior_year_province_anchor,강원,2021,543264.5,536735.0421070176,11743.511515003236,2.1616563414328076,3.523583868603591
prior_year_province_anchor,강원,2022,550310.63,560129.6002700476,12297.277591388309,2.234606587808109,4.43390630304317
prior_year_province_anchor,강원,2023,563875.33,559275.7765022214,7756.357895903231,1.3755448205019418,3.5252724805877307
prior_year_province_anchor,강원,2024,561698.89,573482.6115172835,14506.742806434777,2.5826547042730983,4.8883563038182505
prior_year_province_anchor,강원,2025,559581.9099999999,565613.8757856061,15127.556353659806,2.7033676541937903,3.8148148083052127
prior_year_province_anchor,경기도,2021,5540063.78,5476857.585192741,63206.1948072589,1.1408929087682615,1.8564980657023884
prior_year_province_anchor,경기도,2022,5719420.91,5686312.367287252,38348.07811624557,0.6704888260487472,1.8678673387903262
prior_year_province_anchor,경기도,2023,5773102.92,5806283.124146903,100598.20467012236,1.7425326737483897,3.2952333910437033
prior_year_province_anchor,경기도,2024,5978259.93,5905869.658613849,72390.2713861505,1.210892002585617,1.8261313102116175
prior_year_province_anchor,경기도,2025,6122903.430000001,6070843.46704602,52059.96295398055,0.8502496168550635,1.225138017641956
prior_year_province_anchor,경남,2021,1169600.35,1201648.66436562,32048.31436561991,2.7401081374180425,4.5825154761665505
prior_year_province_anchor,경남,2022,1210909.92,1201815.773171396,13025.97090806358,1.0757175817061255,2.021139259937059
prior_year_province_anchor,경남,2023,1248046.63,1227808.5307512959,20238.09924870421,1.6215819795694821,2.4954960258443437
prior_year_province_anchor,경남,2024,1288299.03,1278715.3164852713,10197.610062011925,0.7915561391063008,1.747864322539143
prior_year_province_anchor,경남,2025,1279160.8,1302319.7728278828,23158.972827882913,1.8104817492752212,3.320942616060501
prior_year_province_anchor,경북,2021,1148926.54,1175902.7552185701,26976.21521857014,2.347949523262831,3.7760281563320883
prior_year_province_anchor,경북,2022,1156124.71,1178406.7488409958,22282.03884099587,1.9273040917009605,3.736057335104874
prior_year_province_anchor,경북,2023,1183661.58,1174027.9744262882,12227.440721953812,1.0330182991961108,1.9766511158236462
prior_year_province_anchor,경북,2024,1193491.92,1212860.344585781,23984.56823784631,2.0096129547191497,4.377237151542674
prior_year_province_anchor,경북,2025,1204120.01,1205778.4635743825,15254.281804421043,1.2668406535674999,1.7924816324239634
prior_year_province_anchor,광주,2021,474739.58999999997,476600.79071863083,4799.22802727313,1.0109180123935166,2.0647260220606456
prior_year_province_anchor,광주,2022,479509.7,488374.5134809895,10464.745509610599,2.1823845293662667,4.3003875833193606
prior_year_province_anchor,광주,2023,483190.29,487412.366514478,9305.912619088893,1.9259312141990466,4.482653064606156
prior_year_province_anchor,광주,2024,495007.89,494175.24826182146,4186.633536241701,0.845771071697807,2.0494070170314975
prior_year_province_anchor,광주,2025,496160.49,502615.4329351019,10954.3682329921,2.207827598886824,3.416625975812891
prior_year_province_anchor,대구,2021,656470.16,652911.3416026178,3638.0660322774493,0.5541860474324453,1.307663168782197
prior_year_province_anchor,대구,2022,670700.52,674970.6328266184,4473.619323988853,0.6670069860671723,2.0860995695384696
prior_year_province_anchor,대구,2023,671610.1,680965.9529891866,12783.49750840111,1.9034105515091433,3.8079286434437942
prior_year_province_anchor,대구,2024,666316.1799999999,685411.1729187077,24695.33459249226,3.706248674989742,6.693381065271814
prior_year_province_anchor,대구,2025,659089.71,676032.9123069468,16943.202306946798,2.570697440709065,4.775135804315229
prior_year_province_anchor,대전,2021,477510.82,485554.134356441,8043.314356440955,1.6844255710144862,2.919929971839594
prior_year_province_anchor,대전,2022,486318.95999999996,491137.49466186453,5961.4190347665135,1.2258249266626398,2.432300424616952
prior_year_province_anchor,대전,2023,496273.63,494993.7063195881,1511.3357958900888,0.3045367927145532,0.8203786443647949
prior_year_province_anchor,대전,2024,506222.05,504345.14818781643,3552.3887949608616,0.7017451718985496,0.9217900257860713
prior_year_province_anchor,대전,2025,504523.93,511523.983894004,7287.166937708636,1.4443649754549077,3.1704198423200247
prior_year_province_anchor,부산,2021,1007591.36,1025720.0744689157,21860.22532081246,2.1695526766736526,3.3849489790891765
prior_year_province_anchor,부산,2022,1024978.64,1040061.8941980611,17438.16698460604,1.7013200377137656,4.006663364937866
prior_year_province_anchor,부산,2023,1052472.8399999999,1050224.2246193937,6903.678030196868,0.6559483311889426,1.4910096699705564
prior_year_province_anchor,부산,2024,1080655.22,1063766.9834346664,16888.2365653335,1.562777493947931,2.4914150851947605
prior_year_province_anchor,부산,2025,1087075.3199999998,1080443.0734399941,6820.576419130666,0.6274244565804941,2.3543777397531085
prior_year_province_anchor,서울,2021,4913887.13,4921637.860650574,31845.547416678863,0.6480724236064996,1.4826450789970707
prior_year_province_anchor,서울,2022,5043595.08,5045770.417217611,24806.26729454426,0.49183701112152445,1.0865515075994492
prior_year_province_anchor,서울,2023,5096869.16,5116449.658570562,25138.002476203023,0.49320478291820663,0.8117748103315207
prior_year_province_anchor,서울,2024,5149206.3100000005,5150175.118152807,23952.66504579666,0.4651719819281558,0.8434592252046796
prior_year_province_anchor,서울,2025,5264261.399999999,5211133.126070568,59060.60394730605,1.1219162473069073,2.244705770499098
prior_year_province_anchor,세종,2021,150407.63,145606.91664073692,4800.713359263078,3.191801745206063,5.088123959117122
prior_year_province_anchor,세종,2022,153748.2,154029.58014432396,1712.3028493777892,1.1137059486730831,2.364999589443006
prior_year_province_anchor,세종,2023,155240.74,156041.4838443782,2032.1975457337103,1.30906200636103,2.69317440745299
prior_year_province_anchor,세종,2024,156016.03,158213.30424770436,2803.456127737132,1.7969026181073395,2.773429475797485
prior_year_province_anchor,세종,2025,156621.21,157459.94486675988,3252.6682155475937,2.0767737751148734,3.039966396723925
prior_year_province_anchor,울산,2021,724102.15,713373.1209673621,13073.783723815228,1.80551649015477,4.37663963179322
prior_year_province_anchor,울산,2022,751517.22,740250.912647096,11717.441125565325,1.5591713421503934,3.685410299330176
prior_year_province_anchor,울산,2023,789631.3200000001,759641.7388707161,29989.581129283906,3.7979219377068154,6.702927965211282
prior_year_province_anchor,울산,2024,816486.54,806793.1738210598,14640.179144489812,1.7930704827650694,5.380773353224401
prior_year_province_anchor,울산,2025,828878.56,819503.910511914,11526.309028308635,1.3905908035923422,3.7719677919688133
prior_year_province_anchor,인천,2021,997815.76,997574.5185285149,7034.384231424483,0.7049782648677029,1.101231748973926
prior_year_province_anchor,인천,2022,1066045.03,1028272.5200103071,44410.76408391868,4.165936975844134,6.580470846577778
prior_year_province_anchor,인천,2023,1129885.71,1084648.786801638,45236.92319836197,4.003672477489955,4.857672717968646
prior_year_province_anchor,인천,2024,1164771.64,1148337.9738342809,16433.666165719158,1.4108916805116545,2.1026528416422074
prior_year_province_anchor,인천,2025,1150481.96,1165882.2863797867,15400.326379786537,1.33859781510929,2.298205666265725
prior_year_province_anchor,전남,2021,849058.91,849866.1006138427,11638.979862248729,1.3708094603528427,2.0684841748201883
prior_year_province_anchor,전남,2022,842751.3300000001,869913.0422894107,27161.7122894107,3.2229806495126736,5.964163798490942
prior_year_province_anchor,전남,2023,862687.36,854372.6380250017,15045.209379446984,1.7439932560791183,3.7570905276224997
prior_year_province_anchor,전남,2024,891832.16,878971.6583772512,16570.12344371385,1.8579867588217325,4.806228772183835
prior_year_province_anchor,전남,2025,873652.4299999999,893707.7312327347,25708.494236295082,2.9426455365430715,6.763887454874186
prior_year_province_anchor,전북,2021,582238.8200000001,588472.2998690637,9474.494440277718,1.6272522742948876,3.4121264712095534
prior_year_province_anchor,전북,2022,589887.48,597798.9141125019,10498.506671638868,1.7797473293786246,3.0681313610574668
prior_year_province_anchor,전북,2023,583957.0700000001,597140.4734005897,13183.403400589654,2.2575980457929306,3.0056961152422326
prior_year_province_anchor,전북,2024,593213.5,595823.3286463196,7606.926793324907,1.282325299967871,2.420717702484365
prior_year_province_anchor,전북,2025,593500.48,598820.4615341087,7923.666878297838,1.3350733732006146,2.431173730244087
prior_year_province_anchor,제주,2021,223463.9,225457.9028567599,3658.1829964274148,1.6370353316251147,2.7219959578536144
prior_year_province_anchor,제주,2022,233644.26,230249.30724589076,5887.762671057346,2.519968892476685,4.902783923691179
prior_year_province_anchor,제주,2023,241431.75,236507.30645019782,4924.443549802178,2.039683492250782,3.5194162789814825
prior_year_province_anchor,제주,2024,242292.74,245428.96694754844,3136.22694754845,1.29439575760646,2.449210950845919
prior_year_province_anchor,제주,2025,237751.35,244426.1187813628,6674.7687813628,2.8074577836730685,4.8251898499327694
prior_year_province_anchor,충남,2021,1298532.6199999999,1290794.1361198537,20174.878034351626,1.553667403006913,1.9130317706107094
prior_year_province_anchor,충남,2022,1335436.15,1329247.285824419,11399.903157616674,0.8536464403495947,1.092673869090576
prior_year_province_anchor,충남,2023,1336171.04,1352739.20706723,29666.745107022987,2.2202805044347453,4.109983245979081
prior_year_province_anchor,충남,2024,1350654.6300000001,1371103.1872001104,21034.346644581005,1.55734457776086,2.5553801217998706
prior_year_province_anchor,충남,2025,1336111.04,1364364.1417633658,29992.81757240824,2.2447848026469597,4.416011851871239
prior_year_province_anchor,충북,2021,802259.58,795220.436095795,10548.014909664082,1.314788277089079,3.2319967618852434
prior_year_province_anchor,충북,2022,835831.54,823449.6532709533,21789.428632752795,2.6069162971228383,4.466923960201777
