track,available_quarters,operating_label,quarter_region,years,annualized_wape_pct,max_annualized_ape_pct,cumulative_wape_pct,years_over_5pct,years_over_10pct
prior_year_province_anchor,1,1분기+1개월,강원,5.0,2.5644256824890532,5.082282599214032,3.2848434057960834,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,경기도,5.0,1.2318902869922301,3.094930536526503,1.1349967720600203,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,경남,5.0,1.323346468030351,2.1700791777242854,1.1388959047019929,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,경북,5.0,2.117740079477763,4.124131481679722,2.0263261299477544,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,광주,5.0,1.5346219604974085,2.78080553436664,1.507506353873561,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,대구,5.0,2.5488053953255143,4.917516966756908,0.8508998333753318,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,대전,5.0,0.695869932734486,1.4566437786648507,0.556471595477418,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,부산,5.0,0.9572949088189051,1.8798708658131331,1.2567615143424467,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,서울,5.0,1.4401228937828956,2.699991199322732,0.19074502851524042,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,세종,5.0,3.1266105858609503,5.258836617159403,2.1245586478417104,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,울산,5.0,2.658763347111737,6.122206204398246,2.0611617286664825,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,인천,5.0,2.348447617126254,5.1981264870249,1.7882561616170733,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,전남,5.0,1.9491551815244261,4.219559787412923,1.7369800076405033,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,전북,5.0,1.9203786959142515,3.087798191728282,2.6379303725524172,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,제주,5.0,1.8205880235291867,2.8275077479058623,2.3020322908104567,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,충남,5.0,1.7440087499691577,4.16875515662167,1.5460991517192557,0.0,0.0
prior_year_province_anchor,1,1분기+1개월,충북,5.0,2.8395461647525395,6.65437149777775,1.8975839513548622,1.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,강원,5.0,1.7048046468248388,3.753409904022992,2.0795158394784448,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,경기도,5.0,0.5633489252504442,1.5886951286301287,1.2528243791873357,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,경남,5.0,1.4713764829158165,3.580182491527193,1.3334848629641993,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,경북,5.0,2.125486969546839,3.3683531580595982,2.09882949061277,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,광주,5.0,1.073221555341073,2.414591855987539,0.5044013209221081,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,대구,5.0,1.8013541518263465,3.846446116429683,0.7310011843335918,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,대전,5.0,0.8246157808578711,1.542431260229558,0.443718625897169,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,부산,5.0,1.189519924113992,1.6271658791572854,1.1044073282154399,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,서울,5.0,0.7541002870155997,2.077918222549195,0.4078584870951916,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,세종,5.0,2.0856007501032945,3.723461134981119,1.439717758561724,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,울산,5.0,1.722786228890923,5.19785821939952,3.299313217273435,1.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,인천,5.0,1.909229240511686,4.591266760702978,1.6792556358716206,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,전남,5.0,1.5849030905293986,3.7904656367034946,1.4660776402684352,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,전북,5.0,1.7143651534187652,2.464855880252379,1.466425478053266,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,제주,5.0,1.624344051607186,2.3129026705583327,1.8576748005080432,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,충남,5.0,1.0688057842825327,2.796679082806842,1.4008802659811586,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,충북,5.0,2.2603462842250908,5.360686701670678,2.353316085017708,1.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,강원,5.0,1.6111198055176648,2.998962667238929,1.2818762315486125,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,경기도,5.0,0.5495621461989395,0.964395730493163,1.0139498357786947,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,경남,5.0,1.4089928832967948,3.260289309993701,1.4778819803884828,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,경북,5.0,1.884379774446216,2.960971055458247,1.622206498177648,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,광주,5.0,1.1018827461409233,2.470994131221863,0.5575515837034961,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,대구,5.0,1.815155032256459,3.416242143073823,1.1236987561734237,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,대전,5.0,0.8777447965640873,1.5574372556445442,0.8062917302198663,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,부산,5.0,1.141815499703814,1.8046080704687784,1.081392352936319,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,서울,5.0,0.501111222317591,1.5240594068934552,0.43426810990811104,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,세종,5.0,1.668731310382062,2.4979992599664613,0.9919495624675806,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,울산,5.0,1.6009086718881873,4.6804310665122975,2.2456801767045116,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,인천,5.0,1.9595066117709776,4.18541923709782,2.004286201716444,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,전남,5.0,1.7238090180498065,3.9344067661941753,1.5686016239497744,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,전북,5.0,1.6211300345349542,2.4087072460306636,1.6305799012257176,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,제주,5.0,1.6632348330952784,2.8934356912158816,1.6977282247059764,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,충남,5.0,1.0884097725610513,2.1901345355357216,0.9807822323021381,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,충북,5.0,2.1060893235993112,4.7494407796872835,2.4426870277014525,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,강원,5.0,1.3950132393766634,2.097871604710373,1.3950132393766634,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,경기도,5.0,0.8716528684155247,1.210892002585629,0.8716528684155247,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,경남,5.0,1.5190928444368395,2.7401081374180327,1.5190928444368395,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,경북,5.0,1.3577018097357096,2.347949523262826,1.3577018097357096,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,광주,5.0,0.9155728612278303,1.8487245369570977,0.9155728612278303,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,대구,5.0,1.601082752637405,2.8657555514722426,1.601082752637405,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,대전,5.0,0.9316119589508784,1.6844255710144769,0.9316119589508784,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,부산,5.0,1.122855735552836,1.7992129734931264,1.122855735552836,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,서울,5.0,0.3282717230649644,1.0092256043636088,0.3282717230649644,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,세종,5.0,1.1552403984003667,3.191801745206068,1.1552403984003667,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,울산,5.0,1.816924417979005,3.7979219377068265,1.816924417979005,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,인천,5.0,2.089030043855791,4.003672477489947,2.089030043855791,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,전남,5.0,1.6018452088510795,3.222980649512667,1.6018452088510795,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,전북,5.0,1.1981160565671822,2.2575980457929403,1.1981160565671822,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,제주,5.0,1.7075062014741942,2.8074577836730565,1.7075062014741942,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,충남,5.0,1.1896995431942556,2.1145773754976074,1.1896995431942556,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,충북,5.0,2.3908961964526507,4.075567654963283,2.3908961964526507,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,강원,5.0,2.8627138279766338,4.737979787418867,3.5970712112195056,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,경기도,5.0,1.579059473439141,3.239263534730373,1.3366611826933505,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,경남,5.0,0.9453639215517667,2.1700791777242854,1.4790426867471949,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,경북,5.0,2.072633462557616,3.6834727708068655,1.757927941413212,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,광주,5.0,1.8740357305971018,2.858419223236944,1.1927140889034038,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,대구,5.0,3.4267322938110865,5.858441628558461,1.3207681418406363,2.0,0.0
recursive_no_target_actual,1,1분기+1개월,대전,5.0,0.6295560755509532,1.4566437786648507,0.724489928106702,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,부산,5.0,0.8228816010560764,1.574280231075114,0.96174546252561,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,서울,5.0,1.4042762029342788,2.699991199322732,0.22817001466031167,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,세종,5.0,3.5332823093497203,5.685720473840164,1.7806851465124667,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,울산,5.0,3.5441755349915707,6.122206204398246,2.945966161514706,2.0,0.0
recursive_no_target_actual,1,1분기+1개월,인천,5.0,3.5815646253865068,5.1981264870249,2.554313246845614,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,전남,5.0,1.6755207183565157,4.219559787412923,1.478215776205843,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,전북,5.0,2.7941922531003183,5.018853847239935,3.5150046538738073,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,제주,5.0,1.8084104905599359,2.728024646366254,2.29893515981114,0.0,0.0
recursive_no_target_actual,1,1분기+1개월,충남,5.0,2.5137365236670517,5.257741604511525,2.3326091465821595,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,충북,5.0,3.0491660107814385,9.3842497959956,3.5778690278203316,1.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,강원,5.0,2.038431480781524,3.495221256664053,2.41573517620567,0.0,0.0
