quarter_region,province_full,city,activity,year,predicted_eok,actual_eok,table_id,table_name,latest_change_date,abs_error_eok,ape_pct
강원,강원특별자치도,춘천시,"광업, 제조업",2021,6690.644898293449,5928.599999999999,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,762.0448982934495,12.85370742322723
강원,강원특별자치도,춘천시,문화 및 기타서비스업,2021,4132.9589215127935,4756.22,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,623.2610784872068,13.10412635427307
강원,강원특별자치도,홍천군,건설업,2022,1395.2553533050404,1736.29,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,341.0346466949595,19.641571782073246
강원,강원특별자치도,화천군,"공공 행정, 국방·사회보장",2021,10643.048576165795,11862.61,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,1219.561423834206,10.28071751355061
경기도,경기도,가평군,건설업,2021,1500.348013785241,1898.56,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,398.211986214759,20.97442199428825
경기도,경기도,가평군,건설업,2022,1917.3803552294635,2759.78,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,842.3996447705367,30.524159344967234
경기도,경기도,가평군,문화 및 기타서비스업,2023,1848.0452661824843,1570.93,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,277.1152661824842,17.640204603800562
경기도,경기도,가평군,숙박 및 음식점업,2022,1739.3644028137298,1996.71,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,257.3455971862702,12.888481411234991
경기도,경기도,고양시,건설업,2021,19021.469344159454,16986.62,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2034.8493441594546,11.97913030467188
경기도,경기도,고양시,사업서비스업,2022,17519.962109811328,14916.75,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2603.2121098113275,17.451603799831247
경기도,경기도,고양시,운수 및 창고업,2021,11438.030026163386,13376.51,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1938.4799738366146,14.49167214644638
경기도,경기도,고양시,정보통신업,2021,9369.366016482092,10803.73,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1434.3639835179074,13.27656266417161
경기도,경기도,고양시,정보통신업,2022,11055.362579745972,9594.45,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1460.912579745971,15.22664227491905
경기도,경기도,고양시,정보통신업,2023,9990.664813481933,8922.98,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1067.6848134819338,11.965563225311879
경기도,경기도,과천시,건설업,2022,4676.523165205555,6120.58,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1444.0568347944445,23.593463933065895
경기도,경기도,과천시,"광업, 제조업",2023,467.83895962376954,3118.78,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2650.941040376231,84.99929589058
경기도,경기도,과천시,교육 서비스업,2023,1028.103864631993,1198.56,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,170.45613536800693,14.22174404018213
경기도,경기도,과천시,금융 및 보험업,2021,2001.8793517129525,1728.91,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,272.9693517129524,15.78852292559777
경기도,경기도,과천시,문화 및 기타서비스업,2021,3978.0223717135577,3142.79,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,835.2323717135578,26.576143226673043
경기도,경기도,과천시,문화 및 기타서비스업,2022,3323.0108671920298,8952.87,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,5629.859132807971,62.88328918891898
경기도,경기도,과천시,문화 및 기타서비스업,2023,9408.227580033652,8245.11,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1163.1175800336514,14.106756368728268
