track,available_quarters,operating_label,rows,baseline_abs_error_sum_eok,rolling_abs_error_sum_eok,official_sum_eok,max_baseline_ape_pct,max_rolling_ape_pct,adopted_main_rows,baseline_wape_pct,rolling_wape_pct,delta_wape_pp
prior_year_province_anchor,1,1분기+1개월,25,459746.1052239901,475151.6150065378,17654897.950000003,6.65437149777775,6.65437149777775,16.0,2.604071156491675,2.691330283257388,0.08725912676571301
prior_year_province_anchor,2,1~2분기+1개월,25,342090.0332162044,344243.08930400235,17654897.950000003,5.360686701670678,5.360686701670678,14.0,1.9376494510760078,1.9498446849079765,0.012195233831968633
prior_year_province_anchor,3,1~3분기+1개월,25,330949.25407819846,418508.2072227668,17654897.950000003,4.7494407796872835,20.540509798820846,20.0,1.8745464007521968,2.3704934936923086,0.49594709294011174
prior_year_province_anchor,4,공표 후 정밀화,25,347240.09217322234,469684.2826964193,17654897.950000003,4.075567654963283,26.627639474502672,20.0,1.9668201603692776,2.660362489925461,0.6935423295561836
recursive_no_target_actual,1,1분기+1개월,25,603303.4579118597,520441.4356344433,17654897.950000003,9.3842497959956,9.384249795995599,18.0,3.4172016152144318,2.9478586458464533,-0.4693429693679785
recursive_no_target_actual,2,1~2분기+1개월,25,505499.0293714743,441927.67952023516,17654897.950000003,8.072839978347238,9.830080268185624,16.0,2.8632226071376086,2.5031449106746897,-0.3600776964629189
recursive_no_target_actual,3,1~3분기+1개월,25,486661.1284205386,531485.0333571739,17654897.950000003,7.452547546872015,21.15444359365622,20.0,2.756521900034764,3.0104112460031174,0.25388934596835355
recursive_no_target_actual,4,공표 후 정밀화,25,500345.3700443377,580048.6181525516,17654897.950000003,6.763306025576184,27.245382709460415,20.0,2.8340315048059375,3.2854827017142374,0.45145119690829993
