track,activity,available_quarters,rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,adopted_rows,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
prior_year_province_anchor,건설업,1,22,899593.6799999999,85460.64541278541,58383.45901486725,9,18.980860050012545,9.499916163571248,6.4899810117460195,-3.0099351518252284
prior_year_province_anchor,건설업,2,22,899593.6799999999,82605.44293421146,52657.516940284826,10,19.939215443416398,9.182528153622806,5.85347786572765,-3.3290502878951562
prior_year_province_anchor,건설업,3,22,899593.6799999999,77172.65061108576,49503.3072404526,14,18.045917500614113,8.578611914112798,5.502851825332144,-3.0757600887806547
prior_year_province_anchor,건설업,4,22,899593.6799999999,72908.0015165923,43158.49847739915,15,15.584596533511114,8.10454799066533,4.797554655719586,-3.3069933349457434
prior_year_province_anchor,"광업, 제조업",1,14,3861314.0400000005,155813.13022164343,67286.1393723668,6,4.662379025312583,4.035235896576892,1.7425710179316778,-2.292664878645214
prior_year_province_anchor,"광업, 제조업",2,14,3861314.0400000005,132298.97428227717,78968.08452523487,4,6.241214285657378,3.4262681799970136,2.045109092583282,-1.3811590874137316
prior_year_province_anchor,"광업, 제조업",3,14,3861314.0400000005,123451.0187536556,74830.86779972092,3,6.870183255964939,3.1971245403716395,1.9379637870563076,-1.259160753315332
prior_year_province_anchor,"광업, 제조업",4,14,3861314.0400000005,132142.63361102232,87952.66952708553,3,6.820905952777549,3.422219281885249,2.277791151301579,-1.14442813058367
prior_year_province_anchor,교육 서비스업,1,23,786208.4600000002,9399.695254753662,8302.216592472452,4,2.9428849047308745,1.1955728961188816,1.055981589472142,-0.13959130664673958
prior_year_province_anchor,교육 서비스업,2,23,786208.4600000002,7801.620094452817,6169.290921940275,5,2.4939108296045123,0.9923093545003083,0.7846889515714793,-0.207620402928829
prior_year_province_anchor,교육 서비스업,3,23,786208.4600000002,6144.184533135975,4550.122320878852,6,2.86580534150281,0.7814956014510417,0.578742477647576,-0.20275312380346566
prior_year_province_anchor,교육 서비스업,4,23,786208.4600000002,5833.181735033515,4186.121524330845,6,1.864176715519915,0.7419383066716826,0.5324442227867714,-0.2094940838849112
prior_year_province_anchor,금융 및 보험업,1,24,606726.34,13733.200683709409,10928.174781247826,9,6.158058600084497,2.26349175539493,1.8011703235511132,-0.4623214318438167
prior_year_province_anchor,금융 및 보험업,2,24,606726.34,10757.845463017413,7346.613711857244,10,4.475505279325001,1.7730968236878284,1.2108611786752566,-0.5622356450125718
prior_year_province_anchor,금융 및 보험업,3,24,606726.34,11640.172753680288,7799.568717572273,13,4.434097235469523,1.9185210837690498,1.2855167483864758,-0.6330043353825741
prior_year_province_anchor,금융 및 보험업,4,24,606726.34,14700.493627207585,7341.97519834658,19,4.534393886222738,2.422919965401137,1.210096663735842,-1.2128233016652952
prior_year_province_anchor,도매 및 소매업,1,21,801209.8499999999,23313.88947019833,16834.240826540634,13,7.631530551760822,2.909835603019401,2.101102579622634,-0.8087330233967669
prior_year_province_anchor,도매 및 소매업,2,21,801209.8499999999,17436.00799125025,12147.752597432376,10,5.2894118884563035,2.176209889487786,1.5161761425464726,-0.6600337469413136
prior_year_province_anchor,도매 및 소매업,3,21,801209.8499999999,14686.682327512046,10035.07148758844,10,4.304443945466576,1.8330631266592703,1.2524897799981418,-0.5805733466611285
prior_year_province_anchor,도매 및 소매업,4,21,801209.8499999999,14931.962555220678,9246.402039740115,12,3.857928950496134,1.8636768575948834,1.1540549632209485,-0.709621894373935
prior_year_province_anchor,문화 및 기타서비스업,1,25,461528.81999999995,19597.385451648654,17824.32348539108,4,8.262336701919358,4.24618888407633,3.862017432712237,-0.3841714513640935
prior_year_province_anchor,문화 및 기타서비스업,2,25,461528.81999999995,17179.10998316204,12249.434708472434,5,4.987472283999839,3.7222182534910915,2.6540996309769853,-1.0681186225141062
prior_year_province_anchor,문화 및 기타서비스업,3,25,461528.81999999995,16414.241635171755,13120.332257033262,9,7.051450532578488,3.556493316099254,2.8427980417416325,-0.7136952743576215
prior_year_province_anchor,문화 및 기타서비스업,4,25,461528.81999999995,15857.285386007889,12510.42033371939,8,11.481759714898677,3.4358169411842776,2.710647697736274,-0.7251692434480037
prior_year_province_anchor,보건 및 사회복지업,1,24,911574.23,22164.074048830702,16634.720704579686,12,7.0006193080102115,2.4314063868205995,1.8248344629684943,-0.6065719238521052
prior_year_province_anchor,보건 및 사회복지업,2,24,911574.23,16418.060212910612,10142.142326672381,9,16.278442382801327,1.801066734072837,1.112596428562091,-0.688470305510746
prior_year_province_anchor,보건 및 사회복지업,3,24,911574.23,13649.386562641022,7762.88488456055,10,14.936126542256417,1.497342302298412,0.851591085956933,-0.645751216341479
prior_year_province_anchor,보건 및 사회복지업,4,24,911574.23,12355.736324037349,6734.320318257189,12,8.62152948647572,1.3554284354920114,0.7387572066684234,-0.616671228823588
prior_year_province_anchor,부동산업,1,22,1068251.5,22714.515302607662,16522.654284759687,5,8.761333360568644,2.1263265534949083,1.5467007801776722,-0.5796257733172361
prior_year_province_anchor,부동산업,2,22,1068251.5,23877.09733486821,21109.568676360905,2,7.952713283975885,2.2351569209000135,1.9760860318343485,-0.259070889065665
prior_year_province_anchor,부동산업,3,22,1068251.5,23908.297748673656,20979.765942204634,3,8.005646302150023,2.2380776201740558,1.9639350791648442,-0.27414254100921154
prior_year_province_anchor,부동산업,4,22,1068251.5,24510.856976834886,21255.70864161541,3,6.07477458116655,2.294483740657971,1.9897663276499409,-0.3047174130080301
prior_year_province_anchor,사업서비스업,1,22,747989.9700000001,26959.60188677027,19556.269824253308,10,11.918916308328969,3.6042731811992432,2.614509633632294,-0.9897635475669491
prior_year_province_anchor,사업서비스업,2,22,747989.9700000001,24008.10726759719,13450.316205430547,14,12.547141359505396,3.2096830479688365,1.7981947278558488,-1.4114883201129877
prior_year_province_anchor,사업서비스업,3,22,747989.9700000001,21591.398330826727,15756.000116563995,10,14.464460941460535,2.8865892855256767,2.1064453734003936,-0.7801439121252831
prior_year_province_anchor,사업서비스업,4,22,747989.9700000001,21848.18527866702,14797.28245600707,12,15.331337582461021,2.920919551724339,1.9782728444884183,-0.9426467072359208
prior_year_province_anchor,서비스업,1,21,7992596.220000001,215985.35978442963,112186.94508066008,11,4.036352299099068,2.702317918224945,1.4036358398780724,-1.2986820783468724
prior_year_province_anchor,서비스업,2,21,7992596.220000001,165032.19388408947,84037.09127238762,9,3.811856534771934,2.0648133515255878,1.0514367166716152,-1.0133766348539726
prior_year_province_anchor,서비스업,3,21,7992596.220000001,147940.43329127837,71224.92677470451,9,2.4444236372585917,1.8509684365273535,0.8911363068295286,-0.9598321296978249
prior_year_province_anchor,서비스업,4,21,7992596.220000001,141958.59080927694,72895.81362589115,8,2.9524337265622305,1.7761261410160032,0.9120417398727437,-0.8640844011432595
prior_year_province_anchor,숙박 및 음식점업,1,19,261051.91,22231.84899370373,16233.00369231089,9,20.469472486445987,8.516256017319977,6.218304892812656,-2.297951124507321
prior_year_province_anchor,숙박 및 음식점업,2,19,261051.91,10915.58565648322,7264.872023139718,8,9.935150083634545,4.181385095586245,2.782922378595015,-1.3984627169912303
prior_year_province_anchor,숙박 및 음식점업,3,19,261051.91,6080.397329457033,4729.270709147718,5,5.904730859307935,2.3291908990273362,1.8116208033673142,-0.517570095660022
prior_year_province_anchor,숙박 및 음식점업,4,19,261051.91,5422.564927890678,3004.5408088541994,12,2.430199566020206,2.0771979518903647,1.1509361524511348,-0.9262617994392299
prior_year_province_anchor,운수 및 창고업,1,24,1026507.16,110690.37031817548,65267.623876004654,6,21.246804793675885,10.783204894369707,6.358223928608998,-4.424980965760708
prior_year_province_anchor,운수 및 창고업,2,24,1026507.16,97819.62127518746,50955.21067276771,9,17.156964946004447,9.529365706049967,4.963941086662046,-4.5654246193879215
prior_year_province_anchor,운수 및 창고업,3,24,1026507.16,93426.71604911167,38910.658945719406,11,14.208858187592405,9.101418839505383,3.7905881675213458,-5.3108306719840375
prior_year_province_anchor,운수 및 창고업,4,24,1026507.16,90501.24817192002,36306.05071657967,8,12.032179929542588,8.8164263921861,3.5368531395903435,-5.279573252595757
prior_year_province_anchor,정보통신업,1,24,286187.54,14082.934537818568,10306.91117581198,6,17.199701270328106,4.920876198110711,3.6014534999713756,-1.319422698139335
prior_year_province_anchor,정보통신업,2,24,286187.54,12017.37893050785,7318.904675481374,8,9.164611882836477,4.199127233319749,2.557380616738721,-1.641746616581028
prior_year_province_anchor,정보통신업,3,24,286187.54,11663.337033986929,5834.686540261017,13,4.810941427162626,4.07541748113385,2.0387633019456466,-2.0366541791882034
prior_year_province_anchor,정보통신업,4,24,286187.54,11723.268398313312,4188.5640080685225,15,3.8542144584733125,4.096358771703797,1.4635731548859614,-2.632785616817836
recursive_no_target_actual,건설업,1,22,899593.6799999999,119943.1387034324,66047.35427693,11,21.49857533659123,13.33303483228477,7.341909547089082,-5.991125285195689
