quarter_region,province_full,city,year,predicted_eok,actual_eok,abs_error_eok,ape_pct
강원,강원특별자치도,강릉시,2021,60139.4062246245,61054.56,915.1537753754965,1.4989114250851967
강원,강원특별자치도,강릉시,2022,63480.63494352406,58428.66,5051.974943524059,8.646398776771637
강원,강원특별자치도,고성군,2021,12866.341549829911,12949.45,83.10845017008978,0.6417913515252754
강원,강원특별자치도,고성군,2022,13411.590915168856,12499.31,912.2809151688562,7.298650206842268
강원,강원특별자치도,동해시,2021,30001.53934392523,31793.91,1792.3706560747705,5.6374653387229525
강원,강원특별자치도,동해시,2022,33296.22927814671,31928.21,1368.0192781467122,4.284672639483116
강원,강원특별자치도,삼척시,2021,21881.36053235666,24186.23,2304.8694676433406,9.529676463191414
강원,강원특별자치도,삼척시,2022,25027.835476358865,25897.79,869.9545236411359,3.359184407785899
강원,강원특별자치도,속초시,2021,18921.592455913844,19263.2,341.60754408615685,1.773368620406562
강원,강원특별자치도,속초시,2022,20037.203749462482,18910.239999999998,1126.963749462484,5.959542287472206
강원,강원특별자치도,양구군,2021,9359.429626846493,9759.32,399.8903731535065,4.097522913005276
강원,강원특별자치도,양구군,2022,10067.720898612484,9305.45,762.2708986124835,8.191660786017692
강원,강원특별자치도,양양군,2021,9256.923573370808,9674.61,417.6864266291923,4.31734640082848
강원,강원특별자치도,양양군,2022,10065.050744606599,10108.06,43.00925539340096,0.4254946586526096
강원,강원특별자치도,영월군,2021,11265.966367292247,11381.82,115.8536327077527,1.0178831918599371
강원,강원특별자치도,영월군,2022,11772.957712024827,11177.47,595.4877120248275,5.3275715526396175
강원,강원특별자치도,원주시,2021,94495.40585194546,94493.23,2.1758519454597263,0.002302653793779434
강원,강원특별자치도,원주시,2022,97806.82092632083,97252.27,554.5509263208223,0.5702190049865389
강원,강원특별자치도,인제군,2021,15763.55729698291,15742.130000000001,21.427296982908956,0.13611434401131836
강원,강원특별자치도,인제군,2022,16252.462703963725,15186.92,1065.5427039637252,7.01618698171667
강원,강원특별자치도,정선군,2021,11603.584962400519,12059.96,456.3750375994805,3.7842168431693017
강원,강원특별자치도,정선군,2022,12567.965087514185,12176.79,391.17508751418427,3.212464758891171
강원,강원특별자치도,철원군,2021,16997.486686522414,17775.54,778.0533134775869,4.37710085588166
강원,강원특별자치도,철원군,2022,18333.618868816793,17604.99,728.6288688167915,4.138763321176504
강원,강원특별자치도,춘천시,2021,79107.82191668253,78517.51,590.3119166825345,0.7518220033754694
강원,강원특별자치도,춘천시,2022,81469.68595585639,81696.09,226.4040441436082,0.2771295959740646
강원,강원특별자치도,태백시,2021,9926.449267539068,9678.93,247.5192675390681,2.5572999033887847
강원,강원특별자치도,태백시,2022,10040.441796164538,9775.68,264.7617961645374,2.7083721660747626
강원,강원특별자치도,평창군,2021,11273.764736851648,11124.92,148.84473685164812,1.3379398400316418
강원,강원특별자치도,평창군,2022,11607.012813812615,11590.87,16.142813812613895,0.1392718045549117
강원,강원특별자치도,홍천군,2021,22008.32144746892,22133.54,125.21855253108151,0.5657411897558253
강원,강원특별자치도,홍천군,2022,22993.710461182898,22983.53,10.180461182899307,0.04429459348889969
강원,강원특별자치도,화천군,2021,14104.106043298658,15351.26,1247.1539567013424,8.124114611447805
