track,available_quarters,operating_label,quarter_region,years,annualized_wape_pct,max_annualized_ape_pct,cumulative_wape_pct,years_over_5pct,years_over_10pct
recursive_no_target_actual,1,1분기+1개월,인천,5.0,3.5815646253865068,5.1981264870249,2.554313246845614,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,울산,5.0,3.5441755349915707,6.122206204398246,2.945966161514706,2.0,0.0
recursive_no_target_actual,1,1분기+1개월,세종,5.0,3.5332823093497203,5.685720473840164,1.7806851465124667,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,대구,5.0,3.4267322938110865,5.858441628558461,1.3207681418406363,2.0,0.0
prior_year_province_anchor,1,1분기+1개월,세종,5.0,3.1266105858609503,5.258836617159403,2.1245586478417104,1.0,0.0
recursive_no_target_actual,1,1분기+1개월,충북,5.0,3.0491660107814385,9.3842497959956,3.5778690278203316,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,충북,5.0,2.8395461647525395,6.65437149777775,1.8975839513548622,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,울산,5.0,2.658763347111737,6.122206204398246,2.0611617286664825,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,강원,5.0,2.5644256824890532,5.082282599214032,3.2848434057960834,1.0,0.0
prior_year_province_anchor,1,1분기+1개월,대구,5.0,2.5488053953255143,4.917516966756908,0.8508998333753318,0.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,울산,5.0,3.081403916432995,5.19785821939952,4.624502361272404,2.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,인천,5.0,3.0703308712503286,4.591266760702978,2.702775109898519,0.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,대구,5.0,2.676476710521998,5.524776689254772,1.5888308755637701,1.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,충북,5.0,2.596714695356697,8.072839978347238,2.8253956388969534,1.0,0.0
recursive_no_target_actual,2,1~2분기+1개월,전북,5.0,2.595501003919549,3.647436270876737,2.3468769364337008,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,충북,5.0,2.2603462842250908,5.360686701670678,2.353316085017708,1.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,경북,5.0,2.125486969546839,3.3683531580595982,2.09882949061277,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,세종,5.0,2.0856007501032945,3.723461134981119,1.439717758561724,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,인천,5.0,1.909229240511686,4.591266760702978,1.6792556358716206,0.0,0.0
prior_year_province_anchor,2,1~2분기+1개월,대구,5.0,1.8013541518263465,3.846446116429683,0.7310011843335918,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,울산,5.0,2.9575753311509207,4.6804310665122975,3.586417648738361,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,인천,5.0,2.807153499949205,4.18541923709782,2.8419055957704824,0.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,대구,5.0,2.6903378838449052,6.030319394106825,1.9890790186084841,1.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,충북,5.0,2.6730074895447076,7.452547546872015,3.0013973866623878,1.0,0.0
recursive_no_target_actual,3,1~3분기+1개월,전북,5.0,2.504567286635082,3.5009724613554427,2.5174677270135253,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,충북,5.0,2.1060893235993112,4.7494407796872835,2.4426870277014525,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,인천,5.0,1.9595066117709776,4.18541923709782,2.004286201716444,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,경북,5.0,1.884379774446216,2.960971055458247,1.622206498177648,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,대구,5.0,1.815155032256459,3.416242143073823,1.1236987561734237,0.0,0.0
prior_year_province_anchor,3,1~3분기+1개월,전남,5.0,1.7238090180498065,3.9344067661941753,1.5686016239497744,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,울산,5.0,3.168365876645629,4.485880186137817,3.168365876645629,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,충북,5.0,2.931319507941767,6.763306025576184,2.931319507941767,1.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,인천,5.0,2.9100521589489614,4.354441950286815,2.9100521589489614,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,대구,5.0,2.479876503856773,6.086156908902212,2.479876503856773,1.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,충북,5.0,2.3908961964526507,4.075567654963283,2.3908961964526507,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,인천,5.0,2.089030043855791,4.003672477489947,2.089030043855791,0.0,0.0
recursive_no_target_actual,4,공표 후 정밀화,전북,5.0,2.0830178139892195,3.345378172425653,2.0830178139892195,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,울산,5.0,1.816924417979005,3.7979219377068265,1.816924417979005,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,제주,5.0,1.7075062014741942,2.8074577836730565,1.7075062014741942,0.0,0.0
prior_year_province_anchor,4,공표 후 정밀화,전남,5.0,1.6018452088510795,3.222980649512667,1.6018452088510795,0.0,0.0
