policy,count,wmape,mape,macro_region_wmape,median_ape,p90_ape,rmse,mae,material_degradation_count,region_improvement_rate,improvement_vs_baseline_pct,improvement_vs_global_pct
M0_baseline,4404,5.425156,81.057455,5.289317,5.982753,30.252651,433715.329913,163859.822099,212,0.523161,0.0,0.822682
M1_global,4404,5.470158,83.803505,5.343632,5.897335,30.216904,436148.826801,165219.067384,0,0.0,-0.829506,0.0
M2B_baseline_electricity,4404,6.138002,78.444228,5.734634,7.701742,30.93249,517443.024391,185390.410703,2079,0.405313,-13.139641,-12.208861
M3_global_electricity,4404,5.938832,78.047969,5.648843,7.556686,30.243343,484914.35954,179374.74564,1987,0.427793,-9.46841,-8.567833
M4_global_electricity_alpha_0.25,4404,5.363593,81.982534,5.215353,6.239512,30.281074,433085.465034,162000.402831,500,0.514759,1.134769,1.948116
M4_global_electricity_alpha_0.5,4404,5.425765,80.462714,5.241069,6.5025,30.67632,440557.781551,163878.220554,1258,0.487057,-0.011225,0.811549
M4_global_electricity_alpha_0.75,4404,5.625721,79.158115,5.391708,6.895973,30.4341,458159.237802,169917.644889,1733,0.451181,-3.696944,-2.843848
